2021-04-04 04:37:00 INFO  DBWithCollections:41 - Author created
2021-04-04 04:37:00 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:37:00 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:00 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:37:00 INFO  DBWithCollections:41 - Author created
2021-04-04 04:37:00 INFO  DBWithCollections:63 - Read all authors
2021-04-04 04:37:00 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:00 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:00 INFO  DBWithCollections:59 - Read all books
2021-04-04 04:37:00 INFO  DBWithCollections:41 - Author created
2021-04-04 04:37:23 INFO  DBWithCollections:41 - Author created
2021-04-04 04:37:23 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:37:23 INFO  DBWithCollections:73 - Book updated
2021-04-04 04:37:23 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:37:23 INFO  DBWithCollections:67 - User updated
2021-04-04 04:37:23 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:37:23 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:23 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:37:23 INFO  DBWithCollections:41 - Author created
2021-04-04 04:37:23 INFO  DBWithCollections:63 - Read all authors
2021-04-04 04:37:23 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:23 INFO  DBWithCollections:34 - Book created
2021-04-04 04:37:23 INFO  DBWithCollections:59 - Read all books
2021-04-04 04:37:23 INFO  DBWithCollections:41 - Author created
2021-04-04 04:38:25 INFO  DBWithCollections:41 - Author created
2021-04-04 04:38:25 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:38:25 INFO  DBWithCollections:73 - Book updated
2021-04-04 04:38:25 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:38:25 INFO  DBWithCollections:67 - User updated
2021-04-04 04:38:25 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:38:25 INFO  DBWithCollections:34 - Book created
2021-04-04 04:38:25 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:38:25 INFO  DBWithCollections:41 - Author created
2021-04-04 04:38:25 INFO  DBWithCollections:63 - Read all authors
2021-04-04 04:38:25 INFO  DBWithCollections:34 - Book created
2021-04-04 04:38:25 INFO  DBWithCollections:34 - Book created
2021-04-04 04:38:25 INFO  DBWithCollections:59 - Read all books
2021-04-04 04:38:25 INFO  DBWithCollections:41 - Author created
2021-04-04 04:39:57 INFO  DBWithCollections:41 - Author created
2021-04-04 04:39:57 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:39:57 INFO  DBWithCollections:73 - Book updated
2021-04-04 04:39:57 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:39:57 INFO  DBWithCollections:67 - User updated
2021-04-04 04:39:57 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:39:57 INFO  DBWithCollections:34 - Book created
2021-04-04 04:39:57 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:39:57 INFO  DBWithCollections:41 - Author created
2021-04-04 04:39:57 INFO  DBWithCollections:63 - Read all authors
2021-04-04 04:39:57 INFO  DBWithCollections:34 - Book created
2021-04-04 04:39:57 INFO  DBWithCollections:34 - Book created
2021-04-04 04:39:57 INFO  DBWithCollections:59 - Read all books
2021-04-04 04:39:57 INFO  DBWithCollections:41 - Author created
2021-04-04 04:40:24 INFO  DBWithCollections:41 - Author created
2021-04-04 04:40:24 INFO  DBWithCollections:52 - Read author by id
2021-04-04 04:40:24 INFO  DBWithCollections:41 - Author created
2021-04-04 04:40:24 INFO  DBWithCollections:78 - Author deleted
2021-04-04 04:40:24 INFO  DBWithCollections:34 - Book created
2021-04-04 04:40:24 INFO  DBWithCollections:45 - Read book by id
2021-04-04 04:40:24 INFO  DBWithCollections:41 - Author created
2021-04-04 04:40:24 INFO  DBWithCollections:63 - Read all authors
2021-04-04 04:40:24 INFO  DBWithCollections:34 - Book created
2021-04-04 04:40:24 INFO  DBWithCollections:34 - Book created
2021-04-04 04:40:24 INFO  DBWithCollections:82 - Book deleted
2021-04-04 04:40:24 INFO  DBWithCollections:34 - Book created
2021-04-04 04:40:24 INFO  DBWithCollections:59 - Read all books
2021-04-04 04:40:24 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:55 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:55 INFO  DBWithCollections:52 - Read author by id
2021-04-15 22:34:55 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:55 INFO  DBWithCollections:78 - Author deleted
2021-04-15 22:34:55 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:55 INFO  DBWithCollections:45 - Read book by id
2021-04-15 22:34:55 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:55 INFO  DBWithCollections:63 - Read all authors
2021-04-15 22:34:55 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:55 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:55 INFO  DBWithCollections:82 - Book deleted
2021-04-15 22:34:55 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:55 INFO  DBWithCollections:59 - Read all books
2021-04-15 22:34:55 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:56 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:56 INFO  DBWithCollections:52 - Read author by id
2021-04-15 22:34:56 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:56 INFO  DBWithCollections:78 - Author deleted
2021-04-15 22:34:56 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:56 INFO  DBWithCollections:45 - Read book by id
2021-04-15 22:34:56 INFO  DBWithCollections:41 - Author created
2021-04-15 22:34:56 INFO  DBWithCollections:63 - Read all authors
2021-04-15 22:34:56 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:56 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:56 INFO  DBWithCollections:82 - Book deleted
2021-04-15 22:34:56 INFO  DBWithCollections:34 - Book created
2021-04-15 22:34:56 INFO  DBWithCollections:59 - Read all books
2021-04-15 22:34:56 INFO  DBWithCollections:41 - Author created
2021-04-15 22:35:54 INFO  DBWithCollections:41 - Author created
2021-04-15 22:36:10 INFO  DBWithCollections:41 - Author created
2021-04-15 22:36:27 INFO  DBWithCollections:63 - Read all authors
2021-04-15 22:36:27 INFO  DBWithCollections:63 - Read all authors
2021-04-25 01:31:43 INFO  DBWithCollections:41 - Author created
2021-04-25 01:32:03 INFO  DBWithCollections:63 - Read all authors
2021-04-25 01:32:03 INFO  DBWithCollections:63 - Read all authors
2021-04-25 01:32:10 INFO  DBWithCollections:63 - Read all authors
2021-04-25 01:32:10 INFO  DBWithCollections:63 - Read all authors
2021-04-25 02:39:37 INFO  DBWithCollections:98 - Read all authors
2021-04-25 02:39:37 INFO  DBWithCollections:98 - Read all authors
2021-04-25 04:42:13 INFO  DBWithCollections:82 - Author created
2021-04-25 04:44:46 INFO  DBWithCollections:83 - Author created
2021-04-25 04:46:10 INFO  DBWithCollections:83 - Author created
2021-04-25 04:49:25 INFO  DBWithCollections:82 - Author created
2021-04-25 04:49:31 INFO  DBWithCollections:82 - Author created
2021-04-25 04:49:52 INFO  DBWithCollections:82 - Author created
2021-04-25 04:51:42 INFO  DBWithCollections:82 - Author created
2021-04-25 04:51:50 INFO  DBWithCollections:94 - Read author by id
2021-04-25 04:51:50 INFO  DBWithCollections:94 - Read author by id
2021-04-25 04:51:50 INFO  DBWithCollections:94 - Read author by id
2021-04-25 04:51:50 INFO  DBWithCollections:94 - Read author by id
2021-04-25 04:56:34 INFO  DBWithCollections:82 - Author created
2021-04-25 04:56:46 INFO  DBWithCollections:82 - Author created
2021-04-25 04:56:48 INFO  DBWithCollections:82 - Author created
2021-04-25 04:56:49 INFO  DBWithCollections:82 - Author created
2021-04-25 04:57:27 INFO  DBWithCollections:82 - Author created
2021-04-25 04:57:30 INFO  DBWithCollections:107 - Read all authors
2021-04-25 04:57:30 INFO  DBWithCollections:107 - Read all authors
2021-04-25 04:57:33 INFO  DBWithCollections:82 - Author created
2021-04-25 04:57:36 INFO  DBWithCollections:82 - Author created
2021-04-25 05:29:45 INFO  DBWithCollections:63 - Author created
2021-04-25 05:30:11 INFO  DBWithCollections:63 - Author created
2021-04-25 05:31:48 INFO  DBWithCollections:65 - Author created
2021-04-25 05:38:10 INFO  DBWithCollections:76 - Author created
2021-04-25 05:38:52 INFO  DBWithCollections:76 - Author created
2021-04-25 05:39:04 INFO  DBWithCollections:76 - Author created
2021-05-01 17:35:30 INFO  DBWithCollections:75 - Author created
2021-05-01 17:35:40 INFO  DBWithCollections:75 - Author created
2021-05-01 18:13:23 INFO  DBWithCollections:73 - Author created
2021-05-01 18:13:56 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:13:56 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:15:17 INFO  DBWithCollections:73 - Author created
2021-05-01 18:15:23 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:15:23 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:15:30 INFO  DBWithCollections:60 - Book created
2021-05-01 18:15:45 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:15:45 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:15:45 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:15:45 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:15:45 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:15:45 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:15:57 INFO  DBWithCollections:95 - Read all books
2021-05-01 18:15:57 INFO  DBWithCollections:95 - Read all books
2021-05-01 18:16:09 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:09 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:09 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:09 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:09 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:16:09 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:16:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:16:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:16:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:16:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:16:49 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:49 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:52 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:16:52 INFO  DBWithCollections:112 - Book updated
2021-05-01 18:16:52 INFO  DBWithCollections:79 - Read book by id
2021-05-01 18:17:03 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:03 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:17 INFO  DBWithCollections:73 - Author created
2021-05-01 18:17:27 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:27 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:34 INFO  DBWithCollections:60 - Book created
2021-05-01 18:17:40 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:40 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:17:47 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:17:47 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:17:47 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:17:47 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:18:00 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:18:00 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:18:05 INFO  DBWithCollections:60 - Book created
2021-05-01 18:18:11 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:18:11 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:18:20 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:18:20 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:18:20 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:18:20 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:19:50 INFO  DBWithCollections:73 - Author created
2021-05-01 18:20:05 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:20:05 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:20:19 INFO  DBWithCollections:60 - Book created
2021-05-01 18:20:29 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:20:29 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:20:29 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:20:29 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:24:40 INFO  DBWithCollections:73 - Author created
2021-05-01 18:24:48 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:24:48 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:25:03 INFO  DBWithCollections:73 - Author created
2021-05-01 18:25:11 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:25:11 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:25:14 INFO  DBWithCollections:60 - Book created
2021-05-01 18:25:27 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:25:27 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:25:27 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:25:27 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:29:58 INFO  DBWithCollections:73 - Author created
2021-05-01 18:30:41 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:30:41 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:31:03 INFO  DBWithCollections:60 - Book created
2021-05-01 18:37:25 INFO  DBWithCollections:73 - Author created
2021-05-01 18:37:27 INFO  DBWithCollections:73 - Author created
2021-05-01 18:37:31 INFO  DBWithCollections:73 - Author created
2021-05-01 18:37:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:37:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:37:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:37:34 INFO  DBWithCollections:87 - Read author by id
2021-05-01 18:37:40 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:37:40 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:37:49 INFO  DBWithCollections:100 - Read all authors
2021-05-01 18:37:49 INFO  DBWithCollections:100 - Read all authors
